Counter	Temperature	VelInc_X	VelInc_Y	VelInc_Z	OriInc_w	OriInc_x	OriInc_y	OriInc_z	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Pressure	Roll	Pitch	Yaw	RSSI
22901	0	0.351196289	-0.074890137	0.165161133	0.999946594	0.007927895	-0.006523132	4.58E-05	8.779907227	-1.872253418	4.12902832	0.396401694	-0.326162346	0.002288859	-0.811523438	0.616210938	0.507080078	883.92	-18.40990747	-63.74942654	-137.226581	-63
22902	0	0.362206459	-0.059095383	0.168792725	0.999969482	0.005002022	-0.005654335	0.001888275	9.055161476	-1.477384567	4.219818115	0.250103614	-0.282719605	0.09441471	-0.807373047	0.622558594	0.514892578	884.06	-18.65150947	-64.30903503	-136.3204288	-62
22903	0	0.360900879	-0.054260254	0.178405762	0.99998951	-0.00044632	-0.003726006	0.002277374	9.022521973	-1.356506348	4.460144043	-0.022316051	-0.186300876	0.113869079	-0.798095703	0.626708984	0.511230469	883.96	-19.48180337	-64.64044916	-135.4559673	-62
22904	0	0.358002663	-0.056848526	0.184479713	0.999988556	-0.003778458	-0.00197506	0.001732826	8.950066566	-1.42121315	4.611992836	-0.188923549	-0.098753324	0.086641617	-0.791259766	0.626464844	0.522216797	883.9	-20.4435477	-64.7971748	-134.8702082	-61
22905	0	0.354675293	-0.045410156	0.190551758	0.999985695	-0.004642487	-0.001299858	0.001983643	8.866882324	-1.135253906	4.763793945	-0.23212538	-0.064993199	0.099182578	-0.788818359	0.619873047	0.531005859	884.02	-21.50827	-64.86520539	-134.2806479	-61
22906	0	0.349337578	-0.052043915	0.183253288	0.999995232	-0.002630234	0.000411987	0.00098896	8.733439445	-1.30109787	4.581332207	-0.131511865	0.020599393	0.04944808	-0.781982422	0.619873047	0.533447266	883.9	-21.96232713	-64.78829986	-134.1100752	-62
22907	0	0.359375	-0.064208984	0.172241211	0.999992371	0.003510475	0.001251221	-7.25E-05	8.984375	-1.605224609	4.306030273	0.175524164	0.06256118	-0.003623971	-0.784423828	0.617675781	0.539550781	883.9	-21.39746115	-64.66602548	-134.2889655	-62
22908	0	0.367149353	-0.051954269	0.165166855	0.999978065	0.006354332	0.001642227	0.000658035	9.178733826	-1.298856735	4.129171371	0.317718902	0.082111954	0.032902002	-0.786621094	0.624267578	0.527832031	884	-20.64068508	-64.47082752	-134.3190579	-63
22909	0	0.348937988	-0.043823242	0.15045166	0.999995232	0.001598358	0.002282143	0.001174927	8.723449707	-1.095581055	3.761291504	0.07991803	0.114107306	0.058746427	-0.786865234	0.6328125	0.518554688	883.86	-20.49347129	-64.18629303	-134.2765113	-63
22910	0	0.351234436	-0.05796814	0.149859428	0.999995232	-0.001548767	0.002271652	0.001026154	8.780860901	-1.449203491	3.74648571	-0.077438466	0.113582774	0.051307752	-0.786865234	0.6328125	0.518554688	884	-20.67506995	-63.90897972	-134.269647	-63
22911	0	0.357727051	-0.064453125	0.147216797	0.999998093	-0.000193596	0.001701355	0.00030899	8.94317627	-1.611328125	3.680419922	-0.009679799	0.085067792	0.015449532	-0.789306641	0.635009766	0.510009766	884.02	-20.59266323	-63.72212004	-134.3839875	-63
22912	0	0.354579926	-0.060212135	0.142968178	0.999999046	0.000418663	0.001127243	0.000408173	8.864498138	-1.505303383	3.574204445	0.020933157	0.056362167	0.020408636	-0.791748047	0.639648438	0.509765625	883.92	-20.51064191	-63.59338457	-134.4201193	-63
22913	0	0.354675293	-0.063171387	0.147277832	0.999998093	0.000592232	0.000450134	0.001243591	8.866882324	-1.579284668	3.681945801	0.029611598	0.022506722	0.062179587	-0.789306641	0.641601563	0.503662109	883.96	-20.64505215	-63.50404278	-134.1926827	-63
22914	0	0.353416443	-0.06076622	0.145896912	0.999995232	0.002031326	-0.000108719	0.00231266	8.835411072	-1.519155502	3.647422791	0.101566475	-0.005435952	0.115633194	-0.789550781	0.643798828	0.503662109	883.96	-20.88926993	-63.43130612	-133.6589735	-63
22915	0	0.356933594	-0.057434082	0.149108887	0.999996185	0.001156807	-0.00043869	0.00220108	8.923339844	-1.435852051	3.727722168	0.057840409	-0.021934533	0.110054133	-0.787353516	0.648193359	0.508789063	883.96	-21.23571203	-63.39773218	-133.1230212	-63
22916	0	0.360469818	-0.060007095	0.154666901	0.999998093	0.000276566	-0.000807762	0.00138855	9.011745453	-1.500177383	3.866672516	0.013828284	-0.040388125	0.069427521	-0.782958984	0.654541016	0.502441406	884	-21.54065997	-63.43642899	-132.745507	-63
22917	0	0.35546875	-0.060119629	0.15802002	0.999998093	0.000752449	-0.001029968	0.001300812	8.88671875	-1.502990723	3.950500488	0.037622473	-0.051498442	0.065040624	-0.782958984	0.654541016	0.505126953	883.92	-21.79248945	-63.50169853	-132.3673299	-63
22918	0	0.354910851	-0.060435295	0.160736084	0.999996185	0.001828194	-0.001000404	0.00154686	8.872771263	-1.510882378	4.0184021	0.091409786	-0.050020274	0.077343074	-0.778076172	0.654296875	0.499267578	883.96	-21.97243059	-63.55254684	-131.9319641	-63
22919	0	0.356994629	-0.061645508	0.163513184	0.999997139	0.001419067	-0.00090313	0.001274109	8.924865723	-1.541137695	4.08782959	0.070953422	-0.045156512	0.063705492	-0.776123047	0.658447266	0.498779297	883.84	-22.13369636	-63.60398668	-131.5698719	-63
22920	0	0.357747078	-0.057709694	0.159549713	0.999999046	0.000390053	-0.000339508	0.00082016	8.943676949	-1.442742348	3.988742828	0.019502643	-0.016975405	0.041008002	-0.773925781	0.662841797	0.50390625	883.96	-22.2669743	-63.61486552	-131.3706249	-63
