Counter	Temperature	VelInc_X	VelInc_Y	VelInc_Z	OriInc_w	OriInc_x	OriInc_y	OriInc_z	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Pressure	Roll	Pitch	Yaw	RSSI
49385	0	0.359191895	-0.119384766	0.088012695	0.999999046	7.62939E-06	-2.19345E-05	-0.000286102	8.979797363	-2.984619141	2.200317383	0.00038147	-0.001096725	-0.014305115	-0.441894531	0.766601563	-0.394042969	896.58	-54.05669518	-67.71290934	-7.224787839	-66
49386	0	0.367505074	-0.121798515	0.08946228	0.999999046	0.000205994	-0.000118256	-0.000226021	9.187626839	-3.044962883	2.236557007	0.010299683	-0.005912781	-0.011301041	-0.441894531	0.766601563	-0.394042969	896.56	-53.9810553	-67.74464419	-7.281739555	-66
49387	0	0.360168457	-0.11932373	0.089782715	0.999999046	6.48499E-05	-0.000124931	-0.000358582	9.004211426	-2.983093262	2.244567871	0.003242493	-0.006246567	-0.017929078	-0.441894531	0.766601563	-0.391357422	896.56	-53.9009341	-67.78905721	-7.366717183	-66
49388	0	0.360643387	-0.120762825	0.088425636	0.999999046	0.000195503	-0.00012207	-3.14713E-05	9.016084671	-3.019070625	2.210640907	0.009775162	-0.006103516	-0.001573563	-0.441894531	0.764404297	-0.391113281	896.62	-53.85913093	-67.80292779	-7.393212021	-65
49389	0	0.363037109	-0.117797852	0.089416504	0.999999046	-0.000125885	9.25064E-05	0.000236511	9.075927734	-2.944946289	2.235412598	-0.006294251	0.00462532	0.011825562	-0.441894531	0.764404297	-0.391113281	896.5	-53.84979041	-67.77750409	-7.424129302	-65
49390	0	0.365221977	-0.119702339	0.089391708	0.999999046	-0.00037384	0.000247955	0.000384331	9.130549431	-2.992558479	2.234792709	-0.018692018	0.012397767	0.019216539	-0.441894531	0.766601563	-0.396728516	896.52	-53.8581586	-67.72788671	-7.456530965	-65
49391	0	0.36541748	-0.11895752	0.087524414	0.999999046	-0.000457764	0.000279427	0.000469208	9.135437012	-2.973937988	2.188110352	-0.022888186	0.01397133	0.02346039	-0.441894531	0.766601563	-0.391357422	896.52	-53.8831063	-67.66834283	-7.491108776	-65
49392	0	0.362571716	-0.117976189	0.089021683	0.999999046	-0.00026989	0.000276566	0.000377655	9.064292908	-2.949404716	2.225542068	-0.013494492	0.013828278	0.018882752	-0.441894531	0.766601563	-0.391357422	896.52	-53.87213353	-67.61749279	-7.540707552	-65
49393	0	0.359741211	-0.11706543	0.089477539	0.999999046	-0.000209808	0.000237465	0.000263214	8.993530273	-2.926635742	2.236938477	-0.010490418	0.011873246	0.013160706	-0.439453125	0.766601563	-0.391357422	896.46	-53.84432354	-67.5798879	-7.600330476	-65
49394	0	0.361344337	-0.119429588	0.089719772	0.999999046	-2.28882E-05	0.000219345	3.8147E-05	9.033608437	-2.985739708	2.242994308	-0.001144409	0.010967255	0.001907349	-0.437255859	0.766601563	-0.388916016	896.52	-53.76236086	-67.56430596	-7.700458937	-65
