Counter	Temperature	VelInc_X	VelInc_Y	VelInc_Z	OriInc_w	OriInc_x	OriInc_y	OriInc_z	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Pressure	Roll	Pitch	Yaw	RSSI
33759	0	0.363891602	-0.139221191	0.073242188	0.999999046	0.000911713	-0.00058651	3.8147E-05	9.097290039	-3.480529785	1.831054688	0.045585641	-0.029325491	0.001907349	-0.677246094	0.147460938	-0.756835938	890.84	-62.22122752	-66.62832242	56.84341187	-91
33760	0	0.360733032	-0.138258934	0.074412346	0.999999046	0.000454903	-0.000370026	0.000289917	9.018325806	-3.456473351	1.860308647	0.022745134	-0.018501283	0.014495851	-0.679443359	0.145263672	-0.759521484	890.74	-62.28275109	-66.62600169	56.97067747	-91
33761	0	0.361816406	-0.136657715	0.074462891	0.999999046	0.000156403	-0.000170708	0.000389099	9.045410156	-3.416442871	1.861572266	0.00782013	-0.008535385	0.019454957	-0.679443359	0.145263672	-0.762451172	890.72	-62.34335416	-66.60293568	57.05956539	-91
33762	0	0.363688469	-0.136125565	0.072365761	0.999999046	8.58307E-05	-0.000156403	0.000301361	9.092211723	-3.403139114	1.80914402	0.004291535	-0.00782013	0.015068055	-0.677246094	0.145263672	-0.756835938	890.74	-62.39748781	-66.58808281	57.13210216	-91
33763	0	0.366027832	-0.136901855	0.070068359	0.999999046	-4.57764E-05	-7.15256E-05	0	9.150695801	-3.422546387	1.751708984	-0.002288818	-0.003576279	0	-0.6796875	0.147460938	-0.759765625	890.78	-62.40980189	-66.59947904	57.13990079	-90
33764	0	0.360971451	-0.13831234	0.070612907	0.999999046	-0.000422478	2.86102E-05	2.67029E-05	9.02428627	-3.457808495	1.765322685	-0.021123887	0.001430512	0.001335144	-0.677246094	0.145263672	-0.756835938	890.78	-62.44506656	-66.60283898	57.12943172	-89
33765	0	0.360168457	-0.139282227	0.071960449	0.999999046	-0.000312805	-3.71933E-05	0.000160217	9.004211426	-3.482055664	1.79901123	-0.015640259	-0.001859665	0.008010864	-0.677246094	0.147460938	-0.756835938	890.74	-62.49946096	-66.59602345	57.15058507	-88
33766	0	0.362020493	-0.139442444	0.070441246	0.999999046	-0.000457764	0.000118256	8.39233E-05	9.050512314	-3.486061096	1.761031151	-0.022888184	0.005912781	0.004196167	-0.677246094	0.149658203	-0.760009766	890.72	-62.52469069	-66.58870664	57.11892188	-91
33767	0	0.362060547	-0.141174316	0.068603516	0.999999046	-0.000461578	0.000248909	-1.14441E-05	9.051513672	-3.52935791	1.715087891	-0.02307892	0.01244545	-0.000572205	-0.677246094	0.149658203	-0.760009766	890.78	-62.50840561	-66.5841202	57.04297318	-88
33768	0	0.361844063	-0.139521599	0.07054615	0.999998093	-0.00031662	0.00014019	0.000338554	9.04610157	-3.48803997	1.763653755	-0.015830994	0.007009506	0.01692772	-0.677490234	0.149658203	-0.754150391	890.78	-62.54380279	-66.54967239	57.04426648	-90
33769	0	0.362670898	-0.139770508	0.069519043	0.999999046	-0.000213623	-0.000151634	0.000362396	9.066772461	-3.494262695	1.737976074	-0.010681153	-0.007581711	0.018119813	-0.677490234	0.151855469	-0.757324219	890.8	-62.63877537	-66.52820234	57.12011123	-88
33770	0	0.363201141	-0.139331818	0.070569038	0.999999046	-0.000190735	-3.05176E-05	8.7738E-05	9.080028534	-3.483295441	1.76422596	-0.009536743	-0.001525879	0.004386902	-0.6796875	0.149902344	-0.760009766	890.78	-62.66933194	-66.52830257	57.13410625	-88
33771	0	0.36138916	-0.13885498	0.071289063	0.999999046	-0.000473022	-8.29697E-05	0.000209808	9.034729004	-3.471374512	1.782226563	-0.023651124	-0.004148483	0.010490418	-0.677490234	0.154052734	-0.757568359	890.92	-62.75915433	-66.51871299	57.17008272	-90
33772	0	0.360854149	-0.139625549	0.072743416	0.999999046	-0.000487328	-9.53674E-06	0.000461578	9.021353722	-3.490638733	1.818585396	-0.024366381	-0.000476837	0.02307892	-0.679931641	0.152099609	-0.757080078	890.78	-62.86335353	-66.47951244	57.22805421	-93
33773	0	0.361083984	-0.141113281	0.070739746	0.999999046	-0.000263214	-4.48227E-05	0.000217438	9.027099609	-3.527832031	1.768493652	-0.013160706	-0.002241135	0.010871887	-0.677490234	0.151855469	-0.760253906	890.84	-62.92067366	-66.46694985	57.2622265	-87
33774	0	0.362064362	-0.143260002	0.070142746	0.999998093	-0.000266075	5.24521E-05	-1.04904E-05	9.051609039	-3.581500053	1.753568649	-0.013303757	0.002622604	-0.000524521	-0.675048828	0.154052734	-0.760498047	890.74	-62.92837385	-66.47243423	57.23655912	-89
33775	0	0.359619141	-0.145263672	0.07043457	0.999999046	0.000537872	-3.33786E-05	0.000267029	8.990478516	-3.631591797	1.760864258	0.026893617	-0.00166893	0.013351441	-0.677490234	0.154052734	-0.757568359	890.78	-62.89754516	-66.45381422	57.27060373	-87
33776	0	0.361013412	-0.140072823	0.069155693	0.999999046	0.001029015	-0.000204086	0.00044632	9.025335312	-3.501820564	1.728892326	0.051450741	-0.010204317	0.022315984	-0.679931641	0.154296875	-0.760253906	890.8	-62.87193082	-66.42583995	57.37076547	-85
33777	0	0.362609863	-0.143188477	0.067138672	0.999999046	0.000480652	-0.000292778	0.000686646	9.065246582	-3.579711914	1.678466797	0.024032596	-0.014638903	0.03433228	-0.677490234	0.154052734	-0.757568359	890.78	-62.95888655	-66.37792029	57.5241905	-85
33778	0	0.363308907	-0.142583847	0.06925869	0.999999046	0.000562668	-0.000207901	0.000403404	9.082722664	-3.564596176	1.731467247	0.028133395	-0.010395051	0.020170214	-0.6796875	0.149902344	-0.754150391	890.86	-62.98278757	-66.35441506	57.62818171	-84
33779	0	0.361572266	-0.139770508	0.068664551	0.999999046	0.000461578	-0.000361443	0.00069809	9.039306641	-3.494262695	1.71661377	0.023078922	-0.018072131	0.034904485	-0.6796875	0.149902344	-0.760009766	890.84	-63.08887486	-66.30882816	57.80844416	-84
33780	0	0.363564491	-0.139847755	0.070543289	0.999999046	0.000540733	-0.000612259	0.000579834	9.089112282	-3.496193886	1.76358223	0.027036671	-0.030612951	0.028991704	-0.679931641	0.154296875	-0.757324219	890.82	-63.22973896	-66.2882555	58.02795685	-83
33781	0	0.363708496	-0.140014648	0.07208252	0.999999046	0.001270294	-0.000414848	-8.39233E-05	9.092712402	-3.500366211	1.802062988	0.063514728	-0.020742423	-0.004196168	-0.679931641	0.152099609	-0.757080078	890.84	-63.16251123	-66.32537422	58.11132789	-82
33782	0	0.362570763	-0.13861084	0.072255135	0.999999046	0.001056671	-0.000347137	-3.43323E-05	9.064269066	-3.465270996	1.806378365	0.052833568	-0.017356876	-0.001716614	-0.6796875	0.149902344	-0.754150391	890.64	-63.10941932	-66.35402881	58.18424035	-81
33783	0	0.364685059	-0.139160156	0.071716309	0.999999046	0.000320435	-0.000178337	0.000301361	9.117126465	-3.479003906	1.792907715	0.016021729	-0.008916855	0.015068055	-0.6796875	0.149902344	-0.760009766	890.9	-63.14070433	-66.33972868	58.25603042	-81
33784	0	0.363223076	-0.138479233	0.071491241	0.999999046	0.000443459	0.000169754	0.00032711	9.080576897	-3.46198082	1.787281036	0.022172929	0.008487702	0.016355515	-0.682128906	0.147705078	-0.750976563	890.84	-63.07939854	-66.30487273	58.24938528	-81
33785	0	0.362548828	-0.137268066	0.070800781	0.999999046	-0.000202179	0.000393867	0.000106812	9.063720703	-3.43170166	1.770019531	-0.010108948	0.019693375	0.005340576	-0.6796875	0.147705078	-0.75390625	890.74	-63.01370057	-66.28103901	58.156086	-81
33786	0	0.359656334	-0.13944912	0.069622993	0.999999046	6.10352E-05	0.000417709	3.8147E-06	8.991408348	-3.486227989	1.740574837	0.003051758	0.020885468	0.000190735	-0.682128906	0.149902344	-0.759765625	890.84	-62.90025645	-66.26645963	58.04066171	-80
