Counter	Temperature	VelInc_X	VelInc_Y	VelInc_Z	OriInc_w	OriInc_x	OriInc_y	OriInc_z	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Pressure	Roll	Pitch	Yaw	RSSI
7878	0	0.385026932	-0.084292412	0.07526207	0.999980927	0.005696297	0.000969887	0.001989365	9.625673294	-2.107310295	1.881551743	0.284816607	0.048494641	0.09946885	-0.668457031	-0.011230469	-0.741455078	895.86	-35.94373391	-79.5112662	46.61436653	-73
7879	0	0.387939453	-0.071289063	0.067749023	0.999943733	0.009838104	0.00143528	0.003547668	9.698486328	-1.782226563	1.693725586	0.491914349	0.071765325	0.177386717	-0.668212891	-0.017822266	-0.740966797	895.84	-36.00866279	-79.13741025	47.82126403	-73
7880	0	0.38974762	-0.058028221	0.058884621	0.999930382	0.010313988	0.001691818	0.005460739	9.743690491	-1.450705528	1.472115517	0.51571134	0.084592873	0.273043285	-0.662841797	-0.029052734	-0.748779297	895.92	-36.76721299	-78.60789044	49.79392773	-71
7881	0	0.393066406	-0.05279541	0.05480957	0.999956131	0.005314827	0.001625061	0.007488251	9.826660156	-1.319885254	1.370239258	0.2657452	0.081254229	0.374417963	-0.665039063	-0.033447266	-0.742675781	895.9	-38.8416438	-77.93287121	52.53681175	-69
7882	0	0.388413429	-0.061161041	0.054802895	0.999958038	0.001662254	0.001355171	0.008857727	9.710335732	-1.529026031	1.370072365	0.083113867	0.067759498	0.442892484	-0.660644531	-0.026855469	-0.751953125	895.92	-41.67635596	-77.15689742	55.63721999	-67
7883	0	0.379455566	-0.061645508	0.058410645	0.999949455	0.003700256	0.000657082	0.009319305	9.48638916	-1.541137695	1.460266113	0.185015931	0.032854633	0.465973113	-0.660888672	-0.020263672	-0.749755859	895.86	-44.32999971	-76.37243749	58.80158127	-66
7884	0	0.380601883	-0.041820526	0.067801476	0.999951363	0.006705284	0.000707626	0.007101059	9.515047073	-1.045513153	1.695036888	0.335269564	0.035381883	0.355058622	-0.661132813	-0.013671875	-0.744384766	895.86	-45.6217033	-75.7401149	60.92218041	-65
7885	0	0.384338379	-0.02947998	0.077819824	0.999944687	0.009823799	0.000869751	0.003391266	9.608459473	-0.736999512	1.945495605	0.491198861	0.043488337	0.169566367	-0.658691406	-0.016113281	-0.75	895.88	-45.2456866	-75.39481607	61.68718398	-64
7886	0	0.385670662	-0.028936386	0.071417809	0.999962807	0.008577347	0.000507355	-0.000375748	9.641766548	-0.723409653	1.785445213	0.428872627	0.02536805	-0.018787616	-0.658203125	-0.027099609	-0.749267578	895.9	-43.94875303	-75.38652444	61.35251619	-64
7887	0	0.38092041	-0.042480469	0.06237793	0.999998093	-0.000746727	-0.000152588	-0.001747131	9.523010254	-1.062011719	1.559448242	-0.037336372	-0.007629399	-0.08735662	-0.657714844	-0.040283203	-0.748291016	895.86	-43.48021135	-75.54146513	60.78049091	-64
7888	0	0.374627113	-0.062437057	0.056797981	0.999975204	-0.006778717	-0.000639915	-0.001739502	9.365677834	-1.560926437	1.419949532	-0.338938642	-0.031996037	-0.086975814	-0.66015625	-0.038085938	-0.75390625	895.84	-43.84985639	-75.73663866	60.36417094	-64
7889	0	0.377624512	-0.076782227	0.059387207	0.999980927	-0.005824089	-0.000911713	-0.001602173	9.440612793	-1.919555664	1.484680176	-0.291206264	-0.045585916	-0.080109141	-0.658203125	-0.027099609	-0.752197266	895.9	-44.2429896	-75.94388468	60.08065781	-66
7890	0	0.379333496	-0.07676506	0.065366745	0.999984741	-0.00492382	-0.000805855	-0.001113892	9.483337402	-1.919126511	1.634168625	-0.246192097	-0.040292915	-0.055694823	-0.660888672	-0.022460938	-0.743652344	895.9	-44.66349798	-76.10345712	59.93443817	-65
7891	0	0.38494873	-0.074279785	0.07232666	0.999980927	-0.006037712	-0.000537872	-0.000244141	9.623718262	-1.856994629	1.808166504	-0.301887457	-0.026893781	-0.012207106	-0.660888672	-0.018310547	-0.752685547	895.9	-45.41481701	-76.17071643	59.99933132	-66
7892	0	0.382322311	-0.074251175	0.078103065	0.999978065	-0.006573677	0.000146866	0.00050354	9.558057785	-1.856279373	1.952576637	-0.328686236	0.007343345	0.025177184	-0.663574219	-0.009277344	-0.750488281	895.92	-46.2445159	-76.12094982	60.08370234	-66
7893	0	0.379272461	-0.077697754	0.078613281	0.999993324	-0.003452301	0.000561714	0.000663757	9.481811523	-1.942443848	1.965332031	-0.172615416	0.028085768	0.033187936	-0.661865234	0.00390625	-0.748779297	895.92	-46.62559973	-76.02409398	60.06810719	-66
7894	0	0.381287575	-0.074933052	0.074193001	0.999999046	-4.96E-05	0.000684738	0.000329971	9.532189369	-1.873326302	1.85482502	-0.002479553	0.034236911	0.016498567	-0.659667969	0.005859375	-0.749023438	895.92	-46.46934506	-75.94481795	59.89910475	-66
7895	0	0.380310059	-0.073791504	0.067687988	0.999999046	0.000766754	0.000721931	0.000137329	9.507751465	-1.844787598	1.692199707	0.038337715	0.03609658	0.006866456	-0.659667969	0.008056641	-0.749267578	895.86	-46.14920115	-75.87818489	59.6549634	-66
7896	0	0.380927086	-0.06994915	0.066879272	0.999998093	0.001558304	0.000567436	0.000255585	9.523177147	-1.748728752	1.671981812	0.077915228	0.028371824	0.012779242	-0.657226563	0.008056641	-0.755126953	895.98	-45.8289405	-75.81377494	59.50130147	-66
7897	0	0.381835938	-0.063720703	0.065979004	0.999999046	0.000591278	0.000638008	0.000457764	9.545898438	-1.593017578	1.649475098	0.029563909	0.031900411	0.022888187	-0.659423828	0.003662109	-0.751708984	895.92	-45.66176449	-75.72725294	59.39638693	-66
7898	0	0.382728577	-0.062098503	0.068798065	0.999999046	-0.000947952	0.000534058	0.000571251	9.568214417	-1.552462578	1.71995163	-0.047397625	0.026702888	0.028562553	-0.657226563	0.005859375	-0.751953125	895.84	-45.73980468	-75.6399938	59.36228951	-65
7899	0	0.383056641	-0.065795898	0.070739746	0.999999046	-0.001239777	0.000313759	-9.16E-05	9.576416016	-1.644897461	1.768493652	-0.061988848	0.015687947	-0.004577638	-0.654785156	0.005615234	-0.754882813	895.88	-45.71401479	-75.62484351	59.18750744	-66
7900	0	0.377650261	-0.06701088	0.074776649	0.999999046	-0.001055717	0.000144958	-0.000535011	9.441256523	-1.675271988	1.869416237	-0.052785886	0.007247927	-0.026750571	-0.655029297	0.0078125	-0.755126953	895.92	-45.5811516	-75.65934399	58.92286499	-66
7901	0	0.378051758	-0.073486328	0.073364258	0.999999046	-0.000968933	-6.39E-05	-0.000492096	9.451293945	-1.837158203	1.834106445	-0.048446665	-0.00319481	-0.024604802	-0.655029297	0.010009766	-0.752441406	895.86	-45.51780306	-75.70665255	58.7393672	-66
7902	0	0.379842758	-0.074354172	0.07365799	0.999999046	-0.000577927	0.000144958	-0.000301361	9.496068954	-1.858854294	1.841449738	-0.028896334	0.007247925	-0.015068055	-0.654785156	0.0078125	-0.758056641	895.86	-45.4022919	-75.72117113	58.54989355	-66
7903	0	0.37878418	-0.074645996	0.071594238	0.999999046	-0.000404358	0.000153542	0.000164032	9.469604492	-1.866149902	1.789855957	-0.020217896	0.007677079	0.008201599	-0.655029297	0.010009766	-0.755371094	895.88	-45.41164037	-75.69667803	58.50898786	-65
7904	0	0.380691528	-0.071352005	0.073178291	0.999999046	0.000464439	-9.54E-06	0.000411987	9.517288208	-1.783800125	1.829457283	0.023221971	-0.000476837	0.020599367	-0.655029297	0.010009766	-0.755371094	895.86	-45.45151122	-75.66486303	58.60216668	-65
7905	0	0.379333496	-0.0703125	0.073364258	0.999999046	-7.25E-05	8.58E-06	0.000289917	9.483337402	-1.7578125	1.834106445	-0.003623962	0.000429153	0.01449585	-0.655029297	0.010009766	-0.755371094	895.88	-45.50806532	-75.641378	58.64956134	-65
7906	0	0.378679276	-0.07267952	0.073724747	0.999999046	0.000249863	-0.000104904	0.000163078	9.466981888	-1.816987991	1.843118668	0.012493134	-0.005245209	0.008153916	-0.654785156	0.0078125	-0.758056641	895.9	-45.52389615	-75.6371082	58.69443737	-65
7907	0	0.38092041	-0.072509766	0.072692871	0.999999046	0.000846863	-0.000166893	-6.48E-05	9.523010254	-1.812744141	1.817321777	0.042343145	-0.008344651	-0.003242493	-0.655029297	0.010009766	-0.755371094	895.9	-45.41954015	-75.65626895	58.68274687	-65
7908	0	0.38156414	-0.073495865	0.073299408	0.999999046	0.001357079	-0.000150681	-0.000149727	9.539103508	-1.837396622	1.832485199	0.067853949	-0.007534029	-0.007486346	-0.655029297	0.0078125	-0.755126953	895.92	-45.22462354	-75.68080611	58.63786832	-65
7909	0	0.380859375	-0.066955566	0.071838379	0.999997139	0.001964569	-0.00032711	-6.48E-05	9.521484375	-1.67388916	1.795959473	0.09822852	-0.016355525	-0.003242495	-0.654785156	0.003417969	-0.757568359	895.92	-45.04218158	-75.71271921	58.67842542	-64
7910	0	0.38018322	-0.06576252	0.073862076	0.999998093	0.001587868	-0.000159264	2.86E-06	9.504580498	-1.644062996	1.846551895	0.079393421	-0.007963184	0.000143051	-0.654785156	0.005615234	-0.760742188	895.8	-44.86975004	-75.7255651	58.67952519	-64
7911	0	0.383178711	-0.064697266	0.070495605	0.999998093	0.001671791	-0.000152588	-0.000156403	9.579467773	-1.617431641	1.762390137	0.083589593	-0.007629398	-0.007820133	-0.656982422	-0.000732422	-0.757080078	895.86	-44.63383275	-75.75090195	58.62997313	-64
7912	0	0.381328583	-0.065073967	0.070901871	0.999999046	0.001246452	-0.000276566	-0.000305176	9.533214569	-1.626849174	1.772546768	0.062322634	-0.013828282	-0.015258793	-0.656982422	-0.000732422	-0.757080078	895.88	-44.43702687	-75.79839302	58.56803454	-64
7913	0	0.37701416	-0.063598633	0.069396973	0.999999046	0.000785828	-0.000258446	-0.000198364	9.425354004	-1.58996582	1.734924316	0.039291387	-0.012922289	-0.009918214	-0.656738281	-0.005126953	-0.756835938	895.9	-44.32078217	-75.83594302	58.5377225	-64
7914	0	0.37933445	-0.067184448	0.069793701	0.999999046	0.000392914	-0.000236511	-8.77E-05	9.483361244	-1.679611206	1.744842529	0.019645692	-0.011825562	-0.004386902	-0.659179688	-0.005126953	-0.75390625	895.94	-44.27844014	-75.86284663	58.53744896	-64
