Counter	Temperature	VelInc_X	VelInc_Y	VelInc_Z	OriInc_w	OriInc_x	OriInc_y	OriInc_z	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Pressure	Roll	Pitch	Yaw	RSSI
11525	0	0.360107422	-0.150634766	0.04864502	0.999999046	-0.000617981	6.20E-05	-0.000888824	9.002685547	-3.765869141	1.216125488	-0.030899054	0.003099442	-0.044441232	-0.794677734	-0.083251953	0.824707031	892.56	-72.10417713	-65.81727742	-122.4003994	-73
11526	0	0.361348152	-0.151823044	0.048073769	0.999999046	-0.000967026	7.82E-05	-0.00073719	9.033703804	-3.795576096	1.201844215	-0.0483513	0.003910066	-0.036859521	-0.796875	-0.085449219	0.822021484	892.62	-72.12982692	-65.90484717	-122.4981176	-73
11527	0	0.360900879	-0.152832031	0.048156738	0.999999046	-0.001102448	0.000294685	-0.000488281	9.022521973	-3.820800781	1.203918457	-0.05512239	0.014734272	-0.024414069	-0.794677734	-0.087646484	0.824951172	892.64	-72.13741577	-65.95758846	-122.6323607	-73
11528	0	0.359619141	-0.154112816	0.047966003	0.999999046	-0.000977516	0.000268936	-0.000324249	8.990478516	-3.852820396	1.199150085	-0.048875818	0.01344681	-0.016212466	-0.796630859	-0.093994141	0.820068359	892.52	-72.14968556	-65.99317302	-122.7463234	-73
11529	0	0.35949707	-0.153869629	0.047546387	0.999999046	-0.000617981	0.000149727	-0.000289917	8.987426758	-3.846740723	1.188659668	-0.03089905	0.007486344	-0.014495851	-0.796875	-0.089599609	0.825439453	892.58	-72.15256333	-66.02903282	-122.824683	-73
11530	0	0.360304832	-0.155246735	0.048193932	0.999999046	-0.000331879	9.16E-05	-0.000324249	9.007620811	-3.881168365	1.204848289	-0.016593934	0.004577637	-0.016212464	-0.796630859	-0.091796875	0.825439453	892.62	-72.1341087	-66.07043945	-122.8907683	-73
11531	0	0.361206055	-0.153686523	0.047058105	0.999999046	-0.000415802	0.0001688	5.72E-05	9.030151367	-3.842163086	1.176452637	-0.020790101	0.008440018	0.002861023	-0.794189453	-0.094238281	0.822753906	892.74	-72.13654616	-66.06737901	-122.9447219	-73
11532	0	0.359951019	-0.154194832	0.047172546	0.999999046	-0.000824928	0.000123978	0.000430107	8.998775482	-3.854870796	1.17931366	-0.04124642	0.006198884	0.021505359	-0.796386719	-0.094238281	0.817138672	892.62	-72.22646093	-66.0250417	-122.9544199	-73
11533	0	0.36151123	-0.153930664	0.046508789	0.999999046	-0.000297546	-8.68E-05	0.000629425	9.037780762	-3.848266602	1.162719727	-0.014877321	-0.004339218	0.031471255	-0.796386719	-0.096191406	0.822998047	892.58	-72.32323182	-65.96819449	-122.8903841	-73
11534	0	0.359923363	-0.152703285	0.046049118	0.999999046	0.000173569	-0.000307083	0.000330925	8.998084068	-3.81758213	1.151227951	0.008678437	-0.015354157	0.01654625	-0.799072266	-0.091796875	0.822753906	892.68	-72.39654863	-65.95149057	-122.7927104	-73
11535	0	0.360961914	-0.15234375	0.047241211	0.999999046	0.000484467	-9.44E-05	0.000217438	9.024047852	-3.80859375	1.181030273	0.024223329	-0.004720688	0.010871888	-0.796630859	-0.093994141	0.822753906	892.62	-72.3732589	-65.93974975	-122.7620593	-73
11536	0	0.361758232	-0.152884483	0.046098709	0.999999046	0.000542641	3.43E-05	0.000311852	9.043955803	-3.822112083	1.152467728	0.027132036	0.001716614	0.015592576	-0.796630859	-0.091796875	0.825439453	892.7	-72.31928933	-65.91320786	-122.7574945	-73
11537	0	0.361450195	-0.152038574	0.048828125	0.999999046	0.000827789	-0.000155449	0.000572205	9.036254883	-3.800964355	1.220703125	0.041389472	-0.007772447	0.028610234	-0.796630859	-0.08984375	0.819580078	892.64	-72.29900673	-65.86482727	-122.6804912	-73
11538	0	0.360681534	-0.151272774	0.04872036	0.999999046	0.00079155	-0.000177383	0.000507355	9.017038345	-3.781819344	1.218008995	0.03957749	-0.008869172	0.025367741	-0.796630859	-0.091796875	0.819824219	892.58	-72.2828439	-65.82431177	-122.6037409	-73
11539	0	0.359191895	-0.151489258	0.048095703	0.999999046	0.000743866	1.62E-05	0.000518799	8.979797363	-3.787231445	1.202392578	0.037193303	0.000810623	0.025939945	-0.796875	-0.087402344	0.825195313	892.68	-72.2258045	-65.77580075	-122.5771442	-73
11540	0	0.361048698	-0.150024414	0.04710865	0.999999046	0.000653267	0.000268936	0.000445366	9.026217461	-3.750610352	1.177716255	0.032663349	0.013446809	0.022268298	-0.796875	-0.087646484	0.819580078	892.62	-72.11228314	-65.72657784	-122.6243027	-73
11541	0	0.359558105	-0.15020752	0.046447754	0.999999046	0.000312805	0.000336647	0.000335693	8.988952637	-3.755187988	1.161193848	0.01564026	0.016832353	0.016784669	-0.799316406	-0.085205078	0.822265625	892.62	-72.01321188	-65.6870018	-122.6981143	-73
11542	0	0.359181404	-0.1507864	0.046050072	0.999999046	0.000448227	0.000101089	0.000228882	8.979535103	-3.769659996	1.151251793	0.022411347	0.005054474	0.011444092	-0.801757813	-0.083007813	0.819335938	892.56	-71.94742933	-65.66746993	-122.7185076	-73
11543	0	0.360473633	-0.148864746	0.04473877	0.999999046	0.000476837	6.96E-05	0.000118256	9.01184082	-3.721618652	1.118469238	0.023841859	0.003480911	0.005912781	-0.799316406	-0.083251953	0.81640625	892.52	-71.87758382	-65.66133119	-122.7399228	-73
11544	0	0.359516144	-0.148907661	0.04511261	0.999999046	-0.000105858	6.87E-05	-8.58E-06	8.987903595	-3.722691536	1.127815247	-0.005292892	0.003433228	-0.000429153	-0.799316406	-0.081054688	0.819091797	892.62	-71.8649923	-65.66923717	-122.7713424	-73
11545	0	0.359436035	-0.15057373	0.046691895	0.999999046	-0.000232697	-0.000102043	-6.10E-05	8.985900879	-3.764343262	1.167297363	-0.011634827	-0.005102158	-0.003051758	-0.799316406	-0.081054688	0.819091797	892.58	-71.90403583	-65.6890401	-122.762117	-73
